document,term,count
1,abate,2
1,abhorreth,1
1,abides,1
1,abideth,1
1,abounding,1
1,above,3
1,absent,1
1,abundance,1
1,accept,3
1,accepted,2
1,acclaim,1
1,accurst,2
1,achaia,1
1,achaian,3
1,ache,2
1,acheron,1
1,aching,3
1,across,3
1,action,1
1,advance,1
1,aegean,1
1,afar,5
1,affliction,1
1,affrighteth,1
1,affront,1
1,aflame,1
1,afoam,2
1,afraid,2
1,afresh,1
1,after,2
1,afterwards,1
1,afterwrack,1
1,again,2
1,against,5
1,agamemnon,22
1,agamemnons,6
1,age,1
1,ageridden,1
1,aghast,1
1,ago,7
1,agony,5
1,aid,1
1,aigiplanctos,1
1,aigisthos,14
1,aim,1
1,"""aim\u00e3d""",1
1,air,2
1,alack,1
1,alas,9
1,albeit,1
1,alcmenas,1
1,alexander,1
1,alexanders,1
1,alien,2
1,alive,2
1,all,17
1,alloy,1
1,allruler,1
1,alone,7
1,already,2
1,also,4
1,altar,12
1,altars,6
1,altarstone,2
1,alway,6
1,always,2
1,amazedly,1
1,ambition,1
1,amid,5
1,among,7
1,amphisbene,1
1,amply,1
1,anchors,1
1,ancient,7
1,and,182
1,anger,2
1,angers,1
1,angry,1
1,anguish,4
1,annoy,1
1,another,8
1,anothers,2
1,answer,2
1,answered,1
1,answering,1
1,answerless,1
1,antistrophe,2
1,anything,2
1,anywhere,1
1,apart,2
1,apollo,14
1,apollos,1
1,appear,1
1,appeared,1
1,appears,1
1,appease,1
1,approach,1
1,approaches,1
1,apt,1
1,are,5
1,ares,2
1,argive,3
1,argolis,2
1,argos,14
1,aright,1
1,arm,1
1,"""arm\u00e3d""",1
1,armed,1
1,armies,1
1,armour,1
1,arms,4
1,army,2
1,arose,1
1,around,1
1,array,2
1,arrow,2
1,arrows,1
1,art,10
1,artemis,4
1,"""as\u00e3pus""",1
1,ashes,2
1,aside,2
1,ask,3
1,asked,1
1,asleep,1
1,assemble,1
1,assembled,1
1,assoil,1
1,assumed,1
1,astonied,1
1,astray,2
1,aswoon,1
1,ate,2
1,athos,1
1,atone,1
1,atones,1
1,atreid,1
1,atreidae,2
1,atreidaes,3
1,atreides,1
1,atreus,5
1,attendants,6
1,aught,4
1,aulis,2
1,avenge,1
1,avenger,1
1,avengers,2
1,avenging,5
1,averse,1
1,avert,1
1,await,1
1,awake,1
1,away,16
1,awful,1
1,axe,1
1,aye,14
1,babbles,1
1,babe,3
1,babes,1
1,back,12
1,backward,1
1,bah,1
1,baked,2
1,balance,1
1,bale,1
1,balm,1
1,band,1
1,bands,1
1,bane,2
1,bank,1
1,banquet,1
1,bar,1
1,barbaric,1
1,barbarous,3
1,bare,2
1,base,1
1,basebeguiled,1
1,baser,1
1,bath,1
1,battle,6
1,battled,1
1,battlehungered,1
1,battlewed,1
1,bay,1
1,baying,1
1,beacon,3
1,beaconcall,1
1,beaconed,1
1,beaconpiles,1
1,beacons,2
1,beaming,1
1,bear,5
1,beard,2
1,bearers,1
1,beareth,2
1,bearing,1
1,bears,1
1,beast,6
1,beasts,3
1,beateth,2
1,beating,1
1,beautiful,3
1,because,1
1,bed,5
1,bedfellow,1
1,bedmy,1
1,beds,1
1,before,2
1,beget,1
1,begetters,1
1,beggarmaid,1
1,begged,1
1,begin,2
1,begins,1
1,begone,1
1,begot,1
1,begs,1
1,begun,1
1,beheldagain,1
1,behind,4
1,behold,2
1,believe,1
1,believed,1
1,belike,2
1,belongs,1
1,"""belov\u00e3d""",2
1,beloved,1
1,bemuse,1
1,bemy,1
1,benches,1
1,bend,1
1,beneath,7
1,beseeching,1
1,beside,5
1,best,4
1,"""bestbelov\u00e3d""",1
1,betrayed,1
1,better,1
1,beyond,13
1,bid,1
1,bids,1
1,big,1
1,bind,1
1,bird,6
1,birds,2
1,birdthroated,1
1,birth,2
1,bite,1
1,bitter,5
1,black,5
1,blade,2
1,blast,1
1,blasted,1
1,blaze,2
1,bled,1
1,bleed,2
1,bleeds,1
1,blent,1
1,bless,1
1,"""bless\u00e3d""",3
1,blessing,1
1,blessings,1
1,blest,3
1,blew,2
1,blind,5
1,blinded,1
1,blinding,1
1,blindly,1
1,blindness,2
1,bliss,1
1,block,2
1,blood,30
1,bloodand,1
1,"""bloodcurs\u00e3d""",1
1,bloodfoe,1
1,bloodily,1
1,bloodraging,1
1,bloodsin,1
1,bloody,2
1,bloomed,1
1,blossom,1
1,blossometh,1
1,blow,6
1,blows,3
1,blue,1
1,board,2
1,boast,3
1,bodies,2
1,body,5
1,boldened,1
1,bondmaids,1
1,bonds,1
1,bones,1
1,boon,2
1,boots,1
1,bore,2
1,born,8
1,borne,1
1,bosom,3
1,bought,1
1,bound,1
1,bow,4
1,bowed,2
1,brain,7
1,brake,1
1,branch,1
1,brave,4
1,bravely,1
1,bread,2
1,break,4
1,breaks,1
1,breast,3
1,breath,10
1,breathe,1
1,breathes,2
1,breathless,1
1,bred,1
1,breed,1
1,breedeth,1
1,breeding,1
1,breeds,1
1,brethren,5
1,brew,1
1,bridal,2
1,bride,2
1,bridegrooms,1
1,brides,1
1,bridle,1
1,brief,1
1,bright,1
1,brighteyed,1
1,brine,1
1,bring,6
1,bringing,1
1,brings,3
1,broidered,3
1,broideries,3
1,broke,3
1,broken,8
1,bronze,1
1,bronzeclad,1
1,brood,2
1,broodeth,1
1,brother,4
1,brotherhood,1
1,brothers,1
1,brought,3
1,brow,3
1,"""bruis\u00e3d""",1
1,brute,1
1,buds,1
1,build,1
1,builded,1
1,bull,1
1,bulwark,1
1,burden,2
1,burial,1
1,burn,5
1,burneth,2
1,burning,9
1,burst,5
1,bursts,1
1,business,1
1,but,42
1,butchering,1
1,cables,1
1,caitiffs,1
1,calamity,1
1,calchas,4
1,call,8
1,called,4
1,calling,1
1,calls,2
1,callst,1
1,came,17
1,can,16
1,canst,3
1,captives,1
1,capture,1
1,car,1
1,care,6
1,carnage,1
1,carry,1
1,carven,1
1,cassandra,43
1,cassandras,1
1,cast,17
1,casteth,1
1,casting,2
1,castle,7
1,catch,1
1,caught,4
1,cause,3
1,caused,1
1,caverns,1
1,cavillings,1
1,cease,1
1,ceased,1
1,ceases,1
1,cell,1
1,central,2
1,centre,1
1,chafe,2
1,chain,1
1,chained,1
1,chains,1
1,chalcis,1
1,challengedhe,1
1,chance,2
1,changed,3
1,changes,1
1,changeth,1
1,chanted,1
1,chanting,1
1,charge,2
1,charged,2
1,chariot,4
1,charm,1
1,charnelhouse,1
1,chased,1
1,checking,1
1,cheer,1
1,cherished,1
1,chid,1
1,chief,1
1,child,16
1,childless,1
1,children,10
1,childs,2
1,chill,1
1,choir,1
1,chorus,20
1,chosen,1
1,chryseis,1
1,citadel,2
1,cities,4
1,citizens,1
1,city,15
1,citys,1
1,clammy,1
1,clasp,1
1,claspeth,1
1,claw,1
1,clear,11
1,cleaveth,1
1,cling,1
1,clinging,1
1,clings,2
1,close,7
1,closelaid,1
1,clothe,2
1,clothes,2
1,clouding,1
1,clue,1
1,cluster,1
1,clutching,1
1,clytemnestra,52
1,clytemnestras,2
1,coal,1
1,cold,4
1,collapsed,1
1,come,19
1,comes,14
1,cometh,8
1,comfort,3
1,coming,4
1,compact,1
1,compasseth,1
1,comrade,1
1,concealment,1
1,concord,1
1,concourse,1
1,confess,2
1,confessed,1
1,confidence,1
1,confusedly,1
1,conquer,1
1,conquered,4
1,conquerest,1
1,conquering,1
1,conqueror,6
1,conquerors,2
1,conquers,1
1,consecrate,1
1,consent,1
1,consented,1
1,constrained,1
1,content,2
1,contented,1
1,continues,1
1,controls,1
1,convict,1
1,coolness,1
1,cord,1
1,core,1
1,cornflushed,1
1,corpse,1
1,council,2
1,councillors,1
1,counsel,7
1,counselling,1
1,counsellings,1
1,count,1
1,counting,1
1,courage,2
1,cover,1
1,covered,1
1,cowering,1
1,craft,7
1,craftsman,1
1,crag,1
1,crasheth,1
1,craven,1
1,craves,1
1,crawl,1
1,creep,2
1,creepeth,1
1,crept,1
1,cried,3
1,cries,3
1,criest,1
1,crimson,3
1,cringe,1
1,croaketh,1
1,crossed,4
1,crowd,2
1,crowding,1
1,crown,8
1,crowned,2
1,cruel,1
1,crushing,1
1,cry,17
1,crying,6
1,cup,3
1,curbs,1
1,curse,7
1,cursefraught,1
1,curses,2
1,cursing,2
1,curtain,1
1,curtains,1
1,cut,1
1,cutting,1
1,daemon,3
1,daemons,2
1,daily,1
1,dallying,1
1,"""damn\u00e3d""",1
1,danaan,1
1,dance,1
1,danced,1
1,dances,1
1,dancing,2
1,danger,1
1,dare,3
1,dared,2
1,dareth,1
1,daring,1
1,dark,14
1,darkness,5
1,daughter,4
1,dawn,8
1,dawned,1
1,day,31
1,daylight,1
1,days,9
1,dead,34
1,deadly,1
1,dear,5
1,dearer,1
1,dearly,1
1,death,24
1,deathand,1
1,deathbride,1
1,deathfraught,1
1,deathgates,1
1,deathly,1
1,deaths,2
1,debate,2
1,debt,2
1,decays,1
1,deck,1
1,decks,1
1,declares,1
1,decree,2
1,deed,11
1,deemeth,2
1,deep,14
1,deeps,1
1,defied,1
1,defile,1
1,defiled,2
1,defilers,1
1,deign,1
1,deigns,1
1,delay,4
1,delicate,2
1,delight,2
1,delighteth,1
1,deliverance,1
1,delivered,1
1,delphic,1
1,demanded,1
1,den,1
1,deny,1
1,depart,2
1,derision,1
1,descent,1
1,desecrate,1
1,desert,1
1,desire,4
1,desireth,1
1,desiring,1
1,desolate,3
1,desolately,1
1,desolation,1
1,destined,1
1,destroyed,1
1,devil,1
1,dew,2
1,dewdrenched,1
1,dewwet,1
1,dewy,1
1,dice,1
1,did,3
1,die,20
1,died,4
1,dies,3
1,difficulty,1
1,digged,1
1,dim,3
1,dire,1
1,directly,1
1,direr,1
1,dirgesong,1
1,disasterful,1
1,discord,1
1,disdain,1
1,dismay,1
1,dismount,2
1,dismounts,1
1,distance,1
1,distress,1
1,divers,1
1,diverse,1
1,divided,1
1,divine,2
1,division,1
1,doer,1
1,doeth,1
1,dolorous,1
1,domain,1
1,dome,1
1,domes,1
1,dominate,1
1,done,8
1,doom,12
1,dooms,2
1,door,6
1,doors,1
1,doorway,1
1,doth,19
1,doubles,1
1,doubt,1
1,doubtless,1
1,dower,2
1,down,2
1,downfallen,1
1,downtrod,2
1,drag,1
1,dragged,1
1,drain,1
1,drank,2
1,draught,1
1,drave,1
1,draw,1
1,drea,5
1,dread,2
1,dreadful,1
1,dreadfulness,1
1,dream,10
1,dreambeguiled,1
1,dreamed,1
1,dreamer,1
1,dreams,3
1,dreamshape,1
1,drew,1
1,drifting,2
1,drink,1
1,dripping,1
1,driver,1
1,drop,1
1,dropped,1
1,drove,2
1,drowsing,1
1,drunk,3
1,drunken,3
1,dry,1
1,due,5
1,dulleyed,1
1,dumb,1
1,dupe,1
1,during,2
1,durst,2
1,dust,10
1,dwell,1
1,dwelling,2
1,dyed,1
1,dyes,1
1,dying,3
1,each,1
1,eagerly,1
1,eagerness,1
1,eagle,1
1,eagles,4
1,ear,7
1,ears,1
1,earth,12
1,earthbent,1
1,ease,1
1,easier,1
1,easy,2
1,eating,1
1,eclipse,1
1,eddying,1
1,eer,1
1,effort,1
1,either,1
1,eke,1
1,elbowstayed,1
1,elder,28
1,elders,7
1,else,5
1,elseand,1
1,emblazed,1
1,employ,1
1,empty,8
1,enchanting,1
1,end,13
1,endeavour,1
1,ended,1
1,endeth,1
1,ending,1
1,endless,1
1,endlessly,1
1,endure,2
1,endured,2
1,enemies,2
1,enemy,3
1,enemys,1
1,enough,5
1,enoughand,1
1,enslavement,1
1,ensueth,1
1,enter,2
1,entered,1
1,entice,1
1,entrance,1
1,envious,1
1,envy,2
1,ere,5
1,erewhile,1
1,erst,1
1,escape,2
1,essay,1
1,essays,1
1,eternal,2
1,"""eur\u00e3pus""",1
1,even,8
1,ever,16
1,evermore,2
1,every,6
1,everywherelet,1
1,evil,15
1,evilcold,1
1,exalt,1
1,exhausted,2
1,exile,4
1,exiled,1
1,exit,3
1,eye,8
1,eyes,17
1,face,9
1,fade,2
1,fail,2
1,failed,1
1,failing,1
1,fails,1
1,fain,2
1,fair,4
1,faith,1
1,faithful,4
1,faithfully,1
1,fall,10
1,fallen,7
1,fallenand,1
1,fallenbut,1
1,falleth,1
1,falling,2
1,falls,4
1,FALSE,3
1,falter,2
1,famine,1
1,"""fang\u00e3d""",1
1,far,14
1,farewell,1
1,faroff,1
1,fashion,1
1,fast,2
1,faster,1
1,fat,1
1,fate,13
1,fates,2
1,father,9
1,fathers,9
1,fatness,1
1,faugh,2
1,fawning,1
1,fawns,2
1,fear,11
1,feareth,2
1,fears,3
1,feast,8
1,fed,2
1,feed,1
1,feel,3
1,feels,2
1,feet,6
1,feign,1
1,feigned,1
1,feigning,1
1,feigns,2
1,fell,10
1,felt,1
1,fence,2
1,festival,1
1,fever,1
1,field,1
1,fierce,4
1,fiercehuddling,1
1,fiery,1
1,fighter,1
1,fighting,1
1,fill,2
1,filled,1
1,filleth,2
1,find,7
1,"""fingerfring\u00e3d""",1
1,fingers,1
1,finished,1
1,fire,17
1,firebrands,1
1,firegod,1
1,fires,2
1,firewhite,1
1,first,14
1,fisher,1
1,fishes,1
1,fitteth,1
1,fixed,1
1,flame,10
1,flaming,4
1,flapped,1
1,flare,1
1,flashed,1
1,fled,5
1,fleet,1
1,flesh,8
1,flies,2
1,flieth,1
1,flight,1
1,fling,2
1,floats,1
1,flocks,2
1,flood,1
1,floor,3
1,flow,5
1,flower,7
1,flown,1
1,flows,1
1,flung,1
1,fly,5
1,foamed,1
1,foe,3
1,foes,1
1,fold,5
1,follow,3
1,followed,1
1,followeth,2
1,follows,1
1,folly,3
1,food,2
1,fool,1
1,foot,3
1,for,59
1,force,2
1,forceth,1
1,fore,3
1,foreboding,1
1,forefend,1
1,foregone,1
1,forescheming,1
1,foresmitten,1
1,forespent,1
1,forestay,1
1,forests,1
1,forewarned,1
1,forget,5
1,forgetteth,1
1,forgetting,1
1,forgot,1
1,forgotten,1
1,forth,7
1,fortune,7
1,fortunes,3
1,forward,5
1,foul,4
1,found,8
1,founder,1
1,fragrance,1
1,frail,1
1,free,4
1,freesouled,1
1,fresh,2
1,fret,1
1,friend,9
1,friending,1
1,friendly,1
1,friends,3
1,friendship,2
1,fright,1
1,frights,1
1,from,14
1,front,3
1,fronting,1
1,frosts,1
1,frown,1
1,frozen,1
1,fulfill,2
1,fulfilled,5
1,fulfilment,2
1,full,9
1,fulness,1
1,funeral,1
1,furies,2
1,furrows,1
1,fury,5
1,future,1
1,gain,1
1,gainer,1
1,gains,1
1,galleys,3
1,garments,1
1,"""g\u00e3ryon""",1
1,gasped,1
1,gasping,3
1,gate,6
1,gated,1
1,gates,2
1,gather,3
1,gathered,3
1,gave,1
1,gaze,1
1,gear,1
1,gentleness,1
1,get,1
1,getting,1
1,ghastly,1
1,ghastlywed,1
1,ghost,1
1,giant,1
1,gift,5
1,gifts,2
1,gird,1
1,girth,1
1,give,9
1,given,2
1,gives,1
1,giveth,1
1,glad,4
1,gladly,1
1,gladness,1
1,gladvoiced,1
1,glass,1
1,gleams,1
1,glimmer,1
1,glimmering,1
1,gloom,1
1,glories,2
1,glory,7
1,glorying,1
1,glowed,1
1,gnats,1
1,goal,1
1,goats,1
1,god,55
1,godblinded,1
1,godhow,1
1,godless,1
1,gods,32
1,godswhy,1
1,goes,6
1,goings,1
1,gold,6
1,goldchanger,1
1,golden,1
1,gone,10
1,good,25
1,goodbye,1
1,gore,2
1,gored,1
1,"""gorg\u00e3pis""",1
1,gorge,1
1,got,2
1,grace,4
1,graceless,1
1,gradually,2
1,grand,2
1,grant,3
1,grape,1
1,grass,1
1,grave,3
1,great,40
1,greater,1
1,greatness,1
1,greece,1
1,greed,1
1,greek,6
1,greeks,3
1,green,2
1,greet,4
1,greeting,2
1,grew,4
1,grey,1
1,grief,9
1,griefs,3
1,grieve,1
1,grievous,1
1,groan,1
1,groaned,2
1,groaning,1
1,groans,1
1,gropeth,1
1,groping,2
1,gropingly,1
1,ground,6
1,grow,2
1,growing,1
1,grown,1
1,grudge,1
1,guard,2
1,guardeth,1
1,guardian,1
1,guarding,1
1,guards,1
1,guerdon,1
1,guesswork,1
1,guide,4
1,guided,2
1,guides,2
1,guideth,1
1,guile,1
1,guileless,1
1,guilty,1
1,guise,3
1,gulf,1
1,habiliments,1
1,had,1
1,hadst,1
1,hail,7
1,hailwhat,1
1,hair,1
1,half,3
1,halfblind,1
1,halfempty,1
1,hall,11
1,hand,24
1,handmaids,1
1,hands,6
1,hangings,1
1,happiness,1
1,happy,6
1,harbouring,1
1,harbourmine,1
1,harbourtwas,1
1,hard,6
1,hardened,1
1,hardihead,1
1,hare,2
1,harerenders,1
1,harnessed,1
1,harvest,4
1,hast,15
1,haste,1
1,hate,12
1,hater,1
1,hates,1
1,hateth,1
1,hath,57
1,haunteth,1
1,haunting,1
1,haunts,2
1,have,3
1,head,5
1,heads,1
1,heal,1
1,healer,3
1,healers,1
1,healing,1
1,health,2
1,heap,2
1,heaps,1
1,hear,8
1,heard,9
1,heareth,2
1,hearing,1
1,heark,1
1,hearken,1
1,hears,4
1,heart,32
1,hearth,5
1,hearthstone,2
1,hearts,6
1,heat,1
1,heather,1
1,heaven,5
1,heavenly,2
1,heavens,1
1,heavy,8
1,heed,1
1,heel,3
1,height,1
1,held,4
1,helen,7
1,helena,1
1,helens,1
1,helios,1
1,hell,7
1,hellas,1
1,hells,1
1,helm,1
1,help,7
1,her,5
1,herald,19
1,heralds,2
1,herd,1
1,herded,1
1,herds,1
1,herdsman,1
1,here,4
1,hereafter,2
1,herein,1
1,hereof,1
1,hermes,3
1,hestia,1
1,hewn,1
1,hid,1
1,hidden,1
1,hide,3
1,hides,1
1,high,22
1,highborn,1
1,higher,1
1,highpriest,1
1,highthroned,1
1,hills,1
1,him,3
1,himaye,1
1,hinder,1
1,his,21
1,hit,1
1,hither,1
1,hitherward,1
1,hold,7
1,holdeth,3
1,holds,1
1,holes,1
1,holy,2
1,home,18
1,homecoming,2
1,honour,2
1,honoured,1
1,honouredhast,1
1,honoureth,1
1,honours,1
1,hope,7
1,hopes,4
1,hoping,1
1,horn,2
1,horrible,2
1,horror,2
1,horse,2
1,host,4
1,hosts,1
1,hot,3
1,hound,1
1,hounds,2
1,hour,11
1,house,38
1,housed,1
1,housefolk,1
1,houses,4
1,houseways,1
1,hovereth,3
1,how,26
1,howbeit,4
1,hull,3
1,hunger,3
1,hungereth,1
1,hungers,1
1,hungry,2
1,hunt,2
1,hunters,1
1,hunterwise,1
1,hunteth,1
1,hurl,1
1,"""hurl\u00e3d""",1
1,hurled,3
1,husband,4
1,husbands,2
1,hush,1
1,ida,3
1,idaean,1
1,idly,1
1,ilion,13
1,ilions,8
1,ill,8
1,illblanketed,1
1,illhelmed,1
1,illmated,1
1,images,1
1,immenseyea,1
1,impassable,1
1,incense,3
1,incensed,1
1,incline,1
1,increase,1
1,increased,1
1,increases,1
1,increasing,1
1,incredible,1
1,indeed,6
1,indued,1
1,inmost,1
1,innocent,4
1,insatiable,1
1,inside,1
1,instruct,1
1,insult,1
1,intent,1
1,interpreter,3
1,interupts,1
1,into,1
1,intolerable,1
1,inviolate,1
1,inward,2
1,"""iphigen\u00e3a""",1
1,iphigenia,1
1,ire,1
1,iron,2
1,issue,1
1,iti,1
1,its,1
1,itylus,2
1,jars,1
1,joined,2
1,joy,12
1,joyful,1
1,joyous,1
1,joys,1
1,judge,1
1,judged,1
1,judgement,4
1,just,2
1,justice,7
1,keen,1
1,keensensed,1
1,keep,6
1,keepeth,1
1,kick,1
1,kid,1
1,kill,6
1,kin,2
1,kind,1
1,kindle,1
1,kindled,2
1,kindler,1
1,kindlest,1
1,kindling,1
1,king,23
1,kings,20
1,kiss,4
1,kisses,1
1,kithairons,1
1,knee,1
1,kneel,2
1,knees,2
1,knew,5
1,knocking,1
1,knocks,1
1,knouts,1
1,know,18
1,knowest,1
1,knoweth,7
1,knowing,3
1,known,3
1,knows,4
1,lack,1
1,laden,2
1,laid,3
1,lair,1
1,lake,1
1,lamentation,1
1,lamp,1
1,lamps,1
1,land,17
1,lands,2
1,lapt,1
1,last,22
1,late,1
1,later,1
1,laugh,1
1,laugheth,1
1,laughing,1
1,laughs,1
1,laughter,1
1,lave,1
1,law,6
1,laws,1
1,lay,11
1,lays,2
1,lead,3
1,leader,69
1,leadeth,1
1,leads,1
1,leaf,1
1,leafage,1
1,leafy,1
1,leap,1
1,leapeth,1
1,leaping,1
1,leapt,2
1,learn,8
1,learned,2
1,learning,1
1,leave,4
1,leaves,1
1,led,4
1,leda,1
1,leech,1
1,lees,1
1,left,7
1,leman,1
1,lemnian,1
1,lendeth,1
1,lesson,2
1,lest,1
1,let,15
1,letters,1
1,licks,1
1,lie,9
1,lied,1
1,lies,12
1,lieth,1
1,life,19
1,lifeblood,2
1,lifes,1
1,lift,2
1,lifted,3
1,lifteth,1
1,lifting,1
1,light,12
1,lighted,1
1,lightens,1
1,lightly,2
1,lights,3
1,like,55
1,liked,1
1,likes,2
1,likewise,1
1,limbs,2
1,line,2
1,linger,1
1,lingered,1
1,lingering,1
1,lion,4
1,lioness,1
1,lions,4
1,lip,1
1,lips,4
1,little,9
1,live,2
1,lived,2
1,lives,3
1,liveth,3
1,living,3
1,load,1
1,loath,1
1,loathing,1
1,lone,1
1,lonely,4
1,long,28
1,longing,2
1,longingo,1
1,look,4
1,looked,2
1,looks,1
1,loose,2
1,lord,12
1,lords,3
1,lost,10
1,lot,1
1,loud,1
1,love,14
1,lovea,1
1,loved,4
1,loveliness,1
1,lover,3
1,loves,3
1,loveth,1
1,loving,1
1,lovingly,1
1,low,4
1,lowwrought,1
1,loxias,2
1,lurketh,1
1,lust,3
1,lustral,1
1,lusty,1
1,lying,3
1,lyreless,1
1,mad,3
1,maddeneth,1
1,maddening,1
1,made,13
1,madness,2
1,magic,1
1,maid,4
1,mailed,1
1,main,2
1,make,9
1,makes,4
1,making,3
1,makistos,1
1,malignant,1
1,man,39
1,manblinding,1
1,manhunted,1
1,manifold,3
1,mankind,1
1,manpassioned,1
1,mans,14
1,many,17
1,mar,3
1,marble,2
1,mark,3
1,marked,3
1,marksman,1
1,marring,1
1,marshal,1
1,mart,1
1,marvel,3
1,marvels,1
